Plate_Number,Vessel_Name,Elapsed,P23 LIN1-0B-b1 ,P20 LIN2-0A-b1 ,P17 LIN3-0A-b2,P15 LIN4-0B-b2 ,P11 LIN6-0C-b1 ,P13 LIN5-0B-b3 
2,AS_MRC-5_20240326,4,16.77465,30.00457625,22.5339175,25.48422063,29.63963,27.7288725
2,AS_MRC-5_20240326,6,13.12459256,23.61480125,16.92584313,20.20164813,22.39103688,21.26687
2,AS_MRC-5_20240326,8,15.68585187,29.894655,21.06025625,25.81760313,28.24425,26.23305375
2,AS_MRC-5_20240326,10,12.09759813,24.1535375,17.16669187,21.12374625,22.24823063,23.43245875
2,AS_MRC-5_20240326,12,14.59804319,28.73596188,21.00895625,26.17636875,29.07637062,29.09948688
2,AS_MRC-5_20240326,14,11.977205,23.04234875,16.7599725,21.50047875,23.46004875,24.67805688
2,AS_MRC-5_20240326,16,15.8940325,32.60675063,24.43141938,30.25405813,34.642145,34.30213125
2,AS_MRC-5_20240326,18,12.62297475,24.89581938,17.91467563,23.36518438,26.01780687,27.14736125
2,AS_MRC-5_20240326,20,17.00831938,34.91827938,25.39211375,32.75221937,36.44260813,36.07752
2,AS_MRC-5_20240326,22,21.90640312,44.5191225,32.98557938,41.98613875,45.2937725,44.3369075
2,AS_MRC-5_20240326,24,22.11706438,45.30243,34.196585,44.49213625,47.99321125,46.91234187
2,AS_MRC-5_20240326,26,18.60798375,40.29921125,31.15119563,40.74857438,44.88194438,45.38626375
2,AS_MRC-5_20240326,28,21.6445025,45.67361312,36.29136938,46.3269675,51.12733875,51.02827187
2,AS_MRC-5_20240326,30,18.64115563,39.63396688,31.25454438,41.21238188,45.382385,47.42191125
2,AS_MRC-5_20240326,32,24.5766225,50.95065188,40.78423375,52.64210187,57.75694875,56.9642525
2,AS_MRC-5_20240326,34,19.9774375,43.0266975,35.88596188,47.54132375,51.57969875,54.59079563
2,AS_MRC-5_20240326,36,27.34331875,57.28407125,47.24116875,60.6120475,65.04164375,66.24248563
2,AS_MRC-5_20240326,38,21.80247875,47.1374925,41.4591775,54.46106125,58.81623063,63.47958
2,AS_MRC-5_20240326,40,29.13854125,60.91684,53.54227437,67.10837,71.89098188,74.6321125
2,AS_MRC-5_20240326,42,21.73662688,49.53357188,45.70631438,60.6512,63.20514563,70.81113688
2,AS_MRC-5_20240326,44,31.2190025,64.66317375,59.83569688,74.31403188,77.94194125,81.76774125
2,AS_MRC-5_20240326,46,22.584735,50.76397813,50.70878813,66.07434562,69.36439125,78.2210975
2,AS_MRC-5_20240326,48,33.34992938,69.74042875,68.61860437,82.76757938,85.46536312,89.78597438
2,AS_MRC-5_20240326,50,23.82754375,53.25067438,56.39516375,72.50547375,76.050125,85.73304
2,AS_MRC-5_20240326,52,36.48033938,73.38647875,77.7107825,89.45425188,91.43187688,95.22198313
2,AS_MRC-5_20240326,54,25.86541375,58.98826438,67.07224375,81.58385625,83.86183938,92.46752313
2,AS_MRC-5_20240326,56,41.05831563,79.57602563,86.43422625,94.71285313,96.21099312,98.44977688
2,AS_MRC-5_20240326,58,29.32274625,63.82036375,76.12686687,88.5615175,90.22368188,96.2635525
2,AS_MRC-5_20240326,60,43.7090625,82.35478313,91.55900125,97.3587125,98.28092125,99.41011938
2,AS_MRC-5_20240326,62,31.4315225,67.11339375,81.97473688,92.02390125,93.86141188,98.30064
2,AS_MRC-5_20240326,64,45.2952625,83.64673625,93.9640225,97.8960475,98.8770675,99.75104938
2,AS_MRC-5_20240326,66,43.4972325,81.30291563,93.52084875,97.73851813,98.53270062,99.71926188
2,AS_MRC-5_20240326,68,46.29465625,83.80896562,95.0375125,98.17675438,98.9462675,99.82010375
2,AS_MRC-5_20240326,70,37.68624438,74.056935,89.7316025,96.41388813,96.89183937,99.49002375
2,AS_MRC-5_20240326,72,41.01678062,77.6759775,92.80212188,97.37207688,97.94739812,99.65813188
