Passage_Lineage,Colour
P20 LIN1-0B-b1,#8000FF
P17 LIN2-0A-b1,#304CC9
P14 LIN3-0A-b2,#02FD68
P12 LIN4-0B-b2,#FFF604
P10 LIN5-0B-b3,#FFDC00
P23 LIN1-0B-b1,#8000FF
P20 LIN2-0A-b1,#304CC9
P17 LIN3-0A-b2,#02FD68
P15 LIN4-0B-b2,#FFF604
P13 LIN5-0B-b3,#FFDC00
P11 LIN6-0C-b1,#FFA000
P25 LIN2-0A-b1-s1,#87A5FF
P22 LIN3-0A-b2-s1,#01FDBD
P20 LIN4-0B-b2A-s1,#E0E102
P18 LIN5-0B-b3-s1,#958300
P16 LIN6-0C-b1-s1,#FFB479
P13 LIN7-0C-b3,#FF7100
P27 LIN3-0A-b2-s1,#01FDBD
P24 LIN3-0A-b2-s2-ss1,#87FE02
P23 LIN6-0C-b1-s1,#FFB479
P20 LIN7-0C-b3,#FF7100
P16 LIN8-0B-b2B-s1,#FF3200
P15 LIN9-0C-b2-s1,#FF768A
P11 LIN10-0C-b4,#A770A3
Doxo_P17 LIN13-0C-b2-s3,#808080
P33 LIN3-0A-b2-s1-ss1,#00F0FF
P32 LIN3-0A-b2-s1-ss1-sss1,#00D7FF
P29 LIN3-0A-b2-s1-ss2,#019BFF
P27 LIN3-0A-b2-s2-ss1-sss1,#D5FF93
P23 LIN7-0C-b3-s1,#FF8F85
P19 LIN8-0B-b2B-s1-ss1,#D2372C
P19 LIN8-0B-b2B-s1-ss2,#8C1600
P15 LIN6-0C-b1-s2,#FFD7AD
P11 LIN11-0C-b5,#FF2E9D
Doxo_P12 LIN11-0C-b5,#780A78
Doxo_P18 LIN13-0C-b2-s3,#808080
P34 LIN3-0A-b2-s1-ss1,#00F0FF
P31 LIN3-0A-b2-s1-ss2,#019BFF
P29 LIN3-0A-b2-s2-ss1-sss1,#D5FF93
P25 LIN7-0C-b3-s1,#FF8F85
P22 LIN8-0B-b2B-s1-ss1,#D2372C
P22 LIN8-0B-b2B-s1-ss2,#8C1600
P18 LIN6-0C-b1-s2,#FFD7AD
P14 LIN11-0C-b5,#FF2E9D
P13 LIN12-0C-b2-s2,#FF23FF
Doxo_P19 LIN12-0C-b2-s2,#BE12D9
P34 LIN3-0A-b2-s1-ss2,#019BFF
P33 LIN3-0A-b2-s2-ss1-sss1,#D5FF93
P29 LIN2-0A-b1-s1-ss1,#A8DAFC
P25 LIN8-0B-b2B-s1-ss1,#D2372C
P25 LIN8-0B-b2B-s1-ss2,#8C1600
P24 LIN6-0C-b1-s2,#FFD7AD
P24 LIN7-0C-b3-s2,#D0A38C
P21 LIN11-0C-b5,#FF2E9D
P20 LIN12-0C-b2-s2,#FF23FF
P13 LIN11-0C-b5-s1,#FFBFFF
