Lineage,Colour
LIN1-0B-b1,#8000FF
LIN2-0A-b1,#304CC9
LIN3-0A-b2,#02FD68
LIN4-0B-b2,#FFF604
LIN5-0B-b3,#FFDC00
LIN6-0C-b1,#FFA000
LIN2-0A-b1-s1,#87A5FF
LIN3-0A-b2-s1,#01FDBD
LIN4-0B-b2A-s1,#E0E102
LIN5-0B-b3-s1,#958300
LIN6-0C-b1-s1,#FFB479
LIN3-0A-b2-s2-ss1,#87FE02
LIN7-0C-b3,#FF7100
LIN8-0B-b2B-s1,#FF3200
LIN9-0C-b2-s1,#FF768A
LIN10-0C-b4,#A770A3
Doxo_LIN13-0C-b2-s3,#808080
LIN3-0A-b2-s1-ss1,#00F0FF
LIN3-0A-b2-s1-ss1-sss1,#00D7FF
LIN3-0A-b2-s1-ss2,#019BFF
LIN3-0A-b2-s2-ss1-sss1,#D5FF93
LIN7-0C-b3-s1,#FF8F85
LIN8-0B-b2B-s1-ss1,#D2372C
LIN8-0B-b2B-s1-ss2,#8C1600
LIN6-0C-b1-s2,#FFD7AD
LIN11-0C-b5,#FF2E9D
Doxo_LIN11-0C-b5,#780A78
LIN12-0C-b2-s2,#FF23FF
Doxo_LIN12-0C-b2-s2,#BE12D9
LIN2-0A-b1-s1-ss1,#A8DAFC
LIN7-0C-b3-s2,#D0A38C
LIN11-0C-b5-s1,#FFBFFF
