Elapsed,P17,P14,P11,P9,P6
0,24.76719,24.20955,23.35017,21.76646,26.7648
4,22.24799,27.19706,24.77067,24.63962,25.14664
8,22.2976,28.27706,27.93642,26.83128,28.1721
12,23.66587,31.03563,30.8479,30.5068,31.60924
16,24.29,33.03179,34.65426,35.53947,34.38112
20,26.75192,36.07029,40.08474,40.36504,41.10893
24,30.85493,41.29331,46.9461,47.4347,47.13878
28,34.29481,46.73933,54.69249,55.2537,54.63922
32,40.57536,54.01122,65.16182,64.3914,65.23856
36,45.31139,59.40845,73.68213,72.08809,73.93643
40,48.98616,63.8217,80.05726,77.08347,81.221
44,52.99896,67.865,82.23571,81.90975,87.77994
48,70.31845,78.98913,96.7313,92.04177,96.80917
52,68.40976,79.75068,96.68935,93.32051,97.49481
56,70.24002,81.17825,97.72814,95.24698,98.22105
60,71.9584,84.38182,98.17274,96.56681,98.56456
64,75.44798,87.68025,98.43029,97.5867,98.80092
68,76.72385,90.02294,98.64761,97.96582,98.93689
72,93.34137,97.4802,99.89063,99.81286,99.96357
