Elapsed,Doxo,P29,P27,P25,P22,P18,P16,P14,P10,P7
0,23.17977,21.20363,12.77824,42.49215,30.70435,20.37586,13.48021,9.582403,21.06299,25.65176
2,24.88913,22.63151,13.66728,53.06497,35.16115,21.6489,14.60299,10.89529,22.92839,27.78798
4,24.94341,23.11345,13.72478,57.64363,38.10257,22.02697,16.1495,11.74204,24.56541,29.41738
6,25.01734,23.01301,14.09244,59.85887,39.7635,22.50324,17.49025,12.86439,25.90204,31.12354
8,24.80812,22.89262,13.98954,61.29742,41.55484,22.94167,18.66535,14.64024,28.12226,33.96965
10,25.0267,22.96581,14.20371,62.76391,42.40106,23.73364,19.93668,15.52703,29.50468,36.82597
12,24.75681,22.75884,14.31954,64.19479,44.36081,24.31477,21.13393,16.25347,31.38697,39.52854
14,24.44197,22.23887,14.51142,65.67748,46.01048,24.73112,22.85946,17.14715,33.46716,41.62367
16,24.69755,22.25608,14.34073,67.27602,48.03522,25.6271,24.02426,17.82107,35.31468,43.48773
18,24.4061,22.16137,14.54286,68.79192,49.88567,26.54937,25.19187,19.29729,37.21872,46.28295
20,24.58522,21.85435,14.59204,70.35564,51.58695,27.36444,26.61551,20.3295,39.48613,49.44809
22,24.22767,22.03977,14.69941,71.51554,53.50366,28.09504,27.78038,21.11249,41.7437,53.65823
24,24.58609,21.95798,14.98029,73.59762,55.85147,28.79714,29.65614,22.87441,44.63752,58.23905
26,24.52773,21.85433,15.1639,75.98152,58.79668,29.7952,31.46397,23.77533,47.76807,62.18094
28,24.67645,22.11575,15.34225,78.87051,61.51989,31.02499,33.23544,25.27419,51.23275,66.83158
30,24.62124,21.88353,15.54038,81.08861,64.27579,32.20015,34.99179,26.48237,55.14027,71.30264
32,24.33303,22.4255,15.73742,83.65521,67.42654,33.35566,37.53767,27.5486,58.64119,75.65433
34,24.68756,21.87089,15.90917,86.24311,70.39191,34.38457,39.29903,29.75127,62.79171,80.28674
36,24.63748,22.05661,16.02866,88.01526,73.50995,36.09951,41.56406,31.2522,66.6247,84.65534
38,24.57586,21.98249,16.19257,89.78471,76.77122,36.91361,43.49997,33.16424,70.74416,88.71104
40,24.72738,22.81651,16.23898,92.02076,79.6674,38.13607,45.3598,35.21493,74.90599,91.97396
42,24.8565,22.71016,16.40368,93.73443,82.57374,39.2812,47.94945,36.87321,78.52309,94.56763
44,24.95413,22.87576,16.54825,94.75847,85.00894,40.55379,49.99007,39.47503,82.31652,96.38705
46,25.07954,23.23291,16.82447,95.93462,87.86562,42.04613,53.00894,41.63723,85.61422,97.53828
48,24.97499,23.1344,17.01706,96.7511,90.25552,43.37976,55.47094,43.86468,88.01967,98.42825
50,25.16852,23.66268,16.98928,97.41314,92.215,44.92337,58.308,46.31597,90.6704,98.8646
52,25.35346,23.23951,17.05338,98.01514,93.85403,46.14786,60.99167,48.74292,92.75388,99.3135
54,25.47135,23.39446,17.38826,98.43611,95.15744,47.75977,63.52877,51.64102,94.46725,99.57566
56,25.64066,23.37543,17.56957,98.68732,96.11612,48.62769,66.17997,54.17727,95.70483,99.74393
58,25.87366,23.35044,17.74702,99.04491,96.86563,50.03067,68.64592,57.00424,96.65698,99.78246
60,25.39256,23.27518,17.88145,99.25774,97.54684,51.99874,71.13876,60.15167,97.61752,99.83882
62,25.91665,23.60069,17.85548,99.28786,98.1232,53.0033,73.75762,62.66236,98.1257,99.89699
64,25.55237,23.78012,18.07755,99.39908,98.42484,54.54853,75.65128,65.60037,98.47116,99.91496
66,25.82115,23.81601,18.25582,99.45324,98.68546,55.73758,78.6212,68.43647,98.94485,99.95242
68,25.88291,24.15225,18.373,99.52209,98.95334,57.27372,80.80961,70.25277,99.11101,99.95073
70,26.09015,24.22734,18.67402,99.6144,99.02658,58.6014,83.04125,73.13824,99.28348,99.97002
72,26.43404,24.43389,18.78588,99.60995,99.24978,60.06297,85.16862,75.57464,99.49765,99.96432
