Elapsed,Doxo,P29,P27,P24,P22,P20,P18,P17,P15,P13,P9,Blank
0,14.75765,6.414027,21.56808,16.04273,19.60968,16.89202,15.58609,12.31162,22.26969,20.90768,18.50963,0.2479232
2,14.99047,6.609377,22.14151,17.21971,20.22579,17.65423,16.10297,13.13899,23.76522,23.55741,20.65263,0.4896471
4,15.28304,7.045227,22.33718,18.01301,20.26086,17.90811,16.45563,13.57832,24.67016,25.13714,21.43781,1.305141
6,15.64413,7.143494,22.4403,18.51358,20.48646,18.05475,17.2926,14.40603,25.03745,25.8276,22.2212,1.356606
8,15.4453,7.105421,22.4667,18.82995,20.6784,18.38326,17.73065,14.75356,26.36969,27.27782,24.38901,1.698286
10,15.54943,7.282557,22.58448,19.58887,21.28885,18.55065,18.27611,15.40231,27.1607,29.17975,27.12181,1.571875
12,15.70002,7.2149,23.20029,20.53542,21.46616,18.90865,18.75394,16.19662,28.69226,30.54697,29.77942,1.840858
14,15.40007,7.273456,23.01357,21.20276,22.07889,19.43283,19.33536,16.66468,30.0767,32.31673,31.58003,2.367367
16,15.65682,7.056662,22.9836,21.7651,22.18487,19.64903,19.62101,17.06058,30.62475,33.70951,32.70086,0.5407439
18,15.926,6.66469,23.54086,22.14863,22.60175,19.90604,20.09567,17.74608,32.27055,35.47208,34.79005,0.7388564
20,15.43798,6.724953,23.79548,22.57728,22.98809,20.36319,20.94953,18.49267,33.8433,37.16352,37.4906,0.9021365
22,15.56924,6.834215,24.19674,23.27769,23.81256,20.67213,21.71924,18.93563,35.29952,38.90215,41.3279,1.306659
24,15.477,6.91605,24.21732,24.56685,24.13762,21.49567,22.57039,19.82779,37.22432,41.69384,45.22832,1.386302
26,15.54658,7.163176,24.3989,25.64462,24.76225,22.02271,24.04708,20.55892,39.08867,44.6516,48.65176,1.727495
28,15.40691,7.053312,25.49036,26.89553,25.53188,22.83829,24.97879,21.61205,41.77676,46.93372,52.1551,1.537718
30,15.52522,7.147015,25.68862,28.02065,26.28635,23.3722,25.72665,22.72742,44.00211,49.77198,55.59962,1.73608
32,15.29389,7.353098,26.29784,29.16219,26.49725,24.00915,26.72428,23.50285,46.17728,52.23208,60.33669,1.702754
34,15.43715,7.343222,26.89005,30.22435,27.17036,24.38567,27.62908,24.53373,48.34476,55.41357,65.10698,1.731232
36,15.32848,7.507163,27.22286,31.30334,27.67479,24.88733,28.51017,25.37738,50.52246,58.5516,69.9321,2.054985
38,15.33626,7.474584,27.56011,32.92675,28.37727,25.39466,29.46147,26.71905,52.95385,61.55141,74.94753,2.057383
40,15.44953,7.330862,28.1313,34.39153,29.30947,25.73193,30.42887,27.70529,55.20481,65.10121,79.42503,1.59078
42,15.32285,7.27835,28.45898,35.62459,29.8171,26.1904,31.42601,28.73169,57.97858,67.95514,83.45518,1.242681
44,15.61973,7.106606,28.63017,36.84666,30.42954,26.23377,32.83976,29.9787,60.66199,71.73288,87.21861,1.335151
46,15.32833,7.141172,29.10501,38.57127,30.75222,26.77433,33.61695,31.09625,63.13543,74.60135,90.33719,1.381809
48,15.35912,7.419128,29.94908,39.62387,31.82239,27.6093,34.92759,31.84126,66.16081,78.04526,93.13985,1.518631
50,15.30076,7.356592,30.30883,41.03923,32.46384,27.92565,36.07776,33.09808,68.8977,81.23234,95.06064,1.686293
52,15.37685,7.433883,31.14734,42.40605,33.33734,28.43604,37.07145,34.10222,72.16039,84.07956,96.65302,1.906254
54,15.29859,7.360542,31.15554,44.36817,33.77124,29.17785,38.27221,35.18758,74.76427,86.70647,97.60983,1.827382
56,15.18351,7.632093,32.02468,45.86201,34.52174,29.5342,39.44087,35.95647,76.89007,88.85589,98.43916,1.666318
58,15.46437,7.724772,32.41007,47.94221,34.99587,30.23312,40.83192,37.58387,79.44665,91.16226,98.88363,1.982972
60,15.35385,7.756843,32.7975,49.22566,35.67207,30.83084,42.1833,38.959,81.51542,92.9986,99.2169,1.999308
62,15.38193,7.877213,33.71552,50.40327,35.89326,31.55426,43.69943,40.17519,84.00027,94.10922,99.44989,1.886378
64,15.26852,7.642265,34.08278,52.41978,36.51289,31.86762,45.11211,41.35375,85.71037,95.25941,99.59357,1.946827
66,15.28214,7.799038,34.51228,54.22635,36.77477,32.65236,47.29356,42.82809,86.83475,96.21053,99.68153,2.082331
68,15.38324,7.886209,35.87513,55.38726,37.52135,32.6132,48.3955,44.19608,88.0816,96.77383,99.72719,1.379321
70,15.26044,7.513236,35.92516,57.31662,38.44148,33.02048,50.26804,46.0735,89.3669,97.50775,99.76573,1.724133
72,15.49506,7.746356,36.12848,58.82346,39.06926,33.91089,51.77797,47.3028,90.25235,97.87863,99.80358,1.694761
