,Plate_Name,Passage_Lineage,Passage_Number,Lineage,AllGroups,Doubling_Time_Trees,Exponential_Doubling_Rate_Trees,Selected_Times_Trees,Selected_Cell_Density_Trees,Doubling_Time_RANSAC,Exponential_Doubling_Rate_RANSAC,Selected_Times_RANSAC,Int_Plate,Int_Passage
10,Plate 2,P23 LIN1-0B-b1,P23,LIN1-0B-b1,P22-24,37.67447827718237,0.026543167834805884,[12.76 12.77 12.78 ... 71.97 71.98 71.99],"[15.19846925 15.20126577 15.20406281 ... 45.17570121 45.18401354
 45.19232741]",39.06924925620586,0.025595577571564356,"[ 4  6  8 10 12 14 16 18 20 22 24 26 28 30 32 34 36 38 40 42 44 46 48 50
 52 54 56 58 60 62 64 66 68 70 72]",2,23
4,Plate 1,P20 LIN1-0B-b1,P20,LIN1-0B-b1,P19-21,25.935161299454876,0.0385576934900736,[0.000e+00 1.000e-02 2.000e-02 ... 5.349e+01 5.350e+01 5.351e+01],"[15.69774523 15.7019412  15.70613829 ... 65.56874927 65.58627561
 65.60380665]",28.418532013853092,0.035188305979792806,[ 4  8 12 16 20 24 28 32 36 40 44 48 52 56 60 64 68 72],1,20
3,Plate 1,P17 LIN2-0A-b1,P17,LIN2-0A-b1,P16-18,26.43880385223608,0.03782319372649774,[0.000e+00 1.000e-02 2.000e-02 ... 4.949e+01 4.950e+01 4.951e+01],"[20.64916152 20.65457583 20.65999156 ... 75.57730415 75.59712088
 75.61694281]",31.87647528330918,0.03137109705863902,[ 4  8 12 16 20 24 28 32 36 40 44 48 52 56 60 64 68 72],1,17
9,Plate 2,P20 LIN2-0A-b1,P20,LIN2-0A-b1,P19-21,34.642757639702424,0.028866062292164277,[0.000e+00 1.000e-02 2.000e-02 ... 5.799e+01 5.800e+01 5.801e+01],"[23.75139534 23.7561481  23.76090181 ... 75.78725342 75.80241878
 75.81758717]",38.67521101935441,0.025856355366737766,"[ 4  6  8 10 12 14 16 18 20 22 24 26 28 30 32 34 36 38 40 42 44 46 48 50
 52 54 56 58 60 62 64 66 68 70 72]",2,20
16,Plate 3,P25 LIN2-0A-b1-s1,P25,LIN2-0A-b1-s1,P25-27,30.362625567338473,0.03293522814033958,[15.27 15.28 15.29 ... 71.97 71.98 71.99],"[15.42830921 15.43183174 15.43535507 ... 56.29502382 56.30787685
 56.32073282]",31.87109406748205,0.031376393853397584,"[ 4  6  8 10 12 14 16 18 20 22 24 26 28 30 32 34 36 38 40 42 44 46 48 50
 52 54 56 58 60 62 64 66 68 70 72]",3,25
51,Plate 7,P29 LIN2-0A-b1-s1-ss1,P29,LIN2-0A-b1-s1-ss1,P28-31,30.521857179637845,0.03276340604421456,[12.76 12.77 12.78 ... 71.97 71.98 71.99],"[14.47001033 14.47329683 14.47658407 ... 55.51921711 55.53182688
 55.54443951]",31.25664329519017,0.0319931987115802,"[ 4  6  8 10 12 14 16 18 20 22 24 26 28 30 32 34 36 38 40 42 44 46 48 50
 52 54 56 58 60 62 64 66 68 70 72]",7,29
2,Plate 1,P14 LIN3-0A-b2,P14,LIN3-0A-b2,P13-15,22.10283480230426,0.04524306537800971,[0.000e+00 1.000e-02 2.000e-02 ... 4.449e+01 4.450e+01 4.451e+01],"[21.86301192 21.86986926 21.87672875 ... 88.23531213 88.26298715
 88.29067086]",41.16954759387639,0.02428979812614558,[20 24 28 32 36 40 44 48 52 56 60 64 68 72],1,14
8,Plate 2,P17 LIN3-0A-b2,P17,LIN3-0A-b2,P16-18,24.00489757042843,0.04165816567498698,[0.000e+00 1.000e-02 2.000e-02 ... 6.074e+01 6.075e+01 6.076e+01],"[15.23262622 15.23702532 15.24142568 ... 87.99866751 88.024081
 88.04950184]",25.711385495838115,0.038893275516477685,"[ 4  6  8 10 12 14 16 18 20 22 24 26 28 30 32 34 36 38 40 42 44 46 48 50
 52 54 56 58 60 62 64 66 68 70 72]",2,17
15,Plate 3,P22 LIN3-0A-b2-s1,P22,LIN3-0A-b2-s1,P22-24,31.00052089521484,0.032257522490673936,[0.000e+00 1.000e-02 2.000e-02 ... 4.124e+01 4.125e+01 4.126e+01],"[38.0909683  38.09948609 38.10800578 ... 95.78164346 95.80306187
 95.82448507]",33.523602747156396,0.02982972944591476,[ 4  6  8 10 12 14 16 18 20 22 24 26 28 30 32 34 36 38 40 42 44 46 48],3,22
42,Plate 6,P34 LIN3-0A-b2-s1-ss1,P34,LIN3-0A-b2-s1-ss1,P32-35,322.6578015933423,0.0030992587039948205,[49.26 49.27 49.28 ... 71.97 71.98 71.99],[2.69111113 2.69116895 2.69122676 ... 2.82565658 2.82571728 2.82577799],-192.41130353680927,-0.005197199861019053,"[ 4  6  8 10 12 14 16 18 20 22 24 26 28 30 32 34 36 38 40 42 44 46 48 50
 52 54 56 58 60 62 64 66 68 70 72]",6,34
32,Plate 5,P33 LIN3-0A-b2-s1-ss1,P33,LIN3-0A-b2-s1-ss1,P32-35,199.73018814894942,0.0050067544083733945,[26.01 26.02 26.03 ... 71.97 71.98 71.99],"[15.11883823 15.11936292 15.11988764 ... 17.73325922 17.73387465
 17.7344901 ]",223.79594268738376,0.004468356253432533,"[20 22 24 26 28 30 32 34 36 38 40 42 44 46 48 50 52 54 56 58 60 62 64 66
 68 70 72]",5,33
31,Plate 5,P32 LIN3-0A-b2-s1-ss1-sss1,P32,LIN3-0A-b2-s1-ss1-sss1,P32-35,52.9142986259965,0.0188984835094971,[0.000e+00 1.000e-02 2.000e-02 ... 6.124e+01 6.125e+01 6.126e+01],[3.69875852 3.69924307 3.69972768 ... 8.24994354 8.2510243  8.25210521],55.419991232876654,0.018044030281382878,"[ 4  6  8 10 12 14 16 18 20 22 24 26 28 30 32 34 36 38 40 42 44 46 48 50
 52 54 56 58 60 62 64 66 68 70 72]",5,32
30,Plate 5,P29 LIN3-0A-b2-s1-ss2,P29,LIN3-0A-b2-s1-ss2,P28-31,46.97205074597278,0.02128925571949265,[0.000e+00 1.000e-02 2.000e-02 ... 4.474e+01 4.475e+01 4.476e+01],"[50.0901711  50.09756325 50.10495648 ... 96.93440683 96.94871209
 96.96301947]",65.28734247704774,0.015316904656542844,"[ 4  6  8 10 12 14 16 18 20 22 24 26 28 30 32 34 36 38 40 42 44 46 48 50
 52 54 56 58 60 62 64 66 68]",5,29
