AllGroups,Plate_Number,Cell_Unique_ID,Number_Object_Number,Image_FileName_MitoTracker_MAX,Parent_Nuclei,PassageNumber,Original_Index,AreaShape_Area,Metadata_RowColFieldCode,MitoEnds_NumberBranchEnds_PerCell_Area,MitoEnds_NumberNonTrunkBranches_PerCell_Area,MitoEnds_NumberTrunks_PerCell_Area,MitoEnds_TotalObjectSkeltnLngth_PerCell_Area,MitoEnds_Math_Total_NumberBranchEnds_MitoSkeleton,MitoEnds_Math_Total_NumberNonTrunkBranches_MitoSkeleton,MitoEnds_Math_Total_NumberTrunks_MitoSkeleton,MitoEnds_Math_TotalObjectSkeltnLngth_MitoSkeleton,Children_MitoEnds_Count,Children_Mitochondria_Count,OccupiedAreaFraction_Mitochondria_PerCell_Area,Mean_Mitochondria_Area_PerCell_Area,Mean_Mitochondria_MaxMinFeret_DiameterRatio_PerCell,Mean_Mitochondria_AreaShape_Area,Density_Children_Mitochondria_Count_PerCell_Area,Mean_Mitochondria_AreaShape_Solidity,Mean_Mitochondria_AreaShape_Eccentricity
Doxo,6.0,1,1,MAX_ch2-r01c04f15.tif,1,18,1,160855.0,r01c04f15,0.0007273631531503528,0.0005905940132417394,0.001995586086848404,0.01802998724991954,117.0,94.99999999999999,321.0,2900.213599085808,297,172,0.12284977153336857,0.0007142428577521428,1.9406129262892282,114.88953488372093,0.0010692860029218863,0.809456095023303,0.7789525851302497
Doxo,6.0,3,1,MAX_ch2-r01c04f19.tif,1,18,3,256708.0,r01c04f19,0.00023762407092883727,0.0004129205166960126,0.001714009691945713,0.017622094087849836,60.99999999999996,106.0,440.0000000000001,4523.732529103756,413,190,0.1219946398242361,0.0006420770517065057,2.6618952269676486,164.82631578947368,0.0007401405487947395,0.8013413033633612,0.837269103004165
Doxo,6.0,66,2,MAX_ch2-r01c07f14.tif,2,18,61,75832.0,r01c07f14,0.00011868340542251288,0.0005011077117839434,0.0013714526848823713,0.013604494149120988,8.999999999999996,37.99999999999999,103.99999999999999,1031.6560003161428,92,38,0.11185251608819495,0.0029434872654788146,2.4301254061151845,223.21052631578948,0.0005011077117839434,0.7808900964477659,0.7912878478625606
P32-35,6.0,117,1,MAX_ch2-r02c03f07.tif,1,34,108,90364.0,r02c03f07,0.0008631756009030145,0.0014275596476472931,0.0033199061573192866,0.033841970845773964,78.0,129.0,300.0,3058.0958535075188,265,114,0.21319330706918685,0.0018701167286770777,2.056776789097382,168.99122807017545,0.001261564339781329,0.7925511499585053,0.8229720153816591
P32-35,6.0,118,1,MAX_ch2-r02c03f13.tif,1,34,109,573284.0,r02c03f13,0.0005076018169005241,0.0005791195986631408,0.0021368117721757454,0.021810339056539986,291.00000000000006,332.0,1225.0,12503.518415689468,1150,604,0.14260122382623622,0.00023609474143416591,2.4481989090636698,135.34933774834437,0.0010535790288931839,0.8071192819377855,0.8346228217114029
Doxo,6.0,1016,5,MAX_ch2-r03c02f21.tif,5,12,982,114964.0,r03c02f21,0.0009046310149264116,0.0008611391392087958,0.0025921157927699112,0.02246701398469773,103.99999999999999,99.0,298.00000000000006,2582.8977957367897,273,167,0.13295466406875198,0.0007961357129865387,2.302697804112377,91.52694610778444,0.0014526286489683726,0.8019573802913325,0.8449623049134577
P13-15,6.0,2092,13,MAX_ch2-r03c10f22.tif,12,14,2028,79104.0,r03c10f22,0.0005941545307443365,0.0014664239482200647,0.002073220064724919,0.03221972312998256,46.99999999999999,116.0,164.0,2548.70897847414,150,58,0.17144518608414236,0.002955951484209351,2.5800178839665744,233.8275862068965,0.0007332119741100323,0.7600832235454554,0.8439366724672286
P13-15,6.0,2122,1,MAX_ch2-r03c10f27.tif,1,14,2058,183008.0,r03c10f27,0.0006010666200384683,0.0004808532960307746,0.0022239464941423326,0.020366408592987297,110.0,88.0,407.0,3727.215703785419,365,211,0.12372683161391852,0.0005863830882176233,2.545179658327835,107.3127962085308,0.001152955062073789,0.7773756318933313,0.8582659245495954
P13-15,6.0,2200,21,MAX_ch2-r03c10f30.tif,21,14,2134,24576.0,r03c10f30,0.0016276041666666667,0.0014241536458333333,0.0036214192708333335,0.04299903622450074,40.0,35.0,89.0,1056.7443142533302,80,44,0.228271484375,0.00518798828125,2.387697634659986,127.5,0.0017903645833333333,0.7561164510108965,0.8574222510515651
Doxo,6.0,2755,1,MAX_ch2-r04c02f02.tif,1,12,2675,94452.0,r04c02f02,0.0019374920594587726,0.0015563460805488503,0.004182018379706094,0.03676384618259802,183.0,147.0,395.0,3472.418799638748,342,214,0.21731673230847415,0.0010154987491050194,1.9829516181361635,95.91588785046729,0.0022657010968534282,0.78644233794673,0.808874429154443
Doxo,6.0,2761,2,MAX_ch2-r04c02f04.tif,2,12,2681,49264.0,r04c02f04,0.00010149399155569982,0.003247807729782397,0.002232867814225398,0.04197579772780568,4.9999999999999964,160.0,110.0,2067.895699262619,96,20,0.2485181877232868,0.012425909386164339,1.4960226777009513,612.15,0.0004059759662227996,0.8657561947492157,0.665024875612161
Doxo,6.0,2781,5,MAX_ch2-r04c02f30.tif,4,12,2700,56304.0,r04c02f30,0.00024865018471156565,0.0017050298380221656,0.002042483660130719,0.028602239815822612,13.999999999999991,96.00000000000001,115.0,1610.4205105900764,103,27,0.18602585961921,0.006889846652563333,2.1634148906431387,387.9259259259259,0.00047953964194373403,0.8073567974240968,0.8214960914630411
Doxo,6.0,2783,7,MAX_ch2-r04c02f30.tif,6,12,2702,62624.0,r04c02f30,0.0015489269289729174,0.0012295605518650994,0.0041198262646908535,0.03636011021096577,96.99999999999999,76.99999999999999,258.0,2277.01554185152,221,119,0.20972789984670415,0.001762419326442892,2.1266285106206606,110.36974789915966,0.0019002299437915176,0.7367513806331032,0.8404697831062818
Doxo,6.0,2797,6,MAX_ch2-r04c02f39.tif,6,12,2716,200396.0,r04c02f39,0.001586858021118186,0.001756522086269187,0.0044362162917423505,0.047183907261751194,318.0,352.0,889.0,9455.466279625893,785,408,0.24194594702489072,0.0005930047721198302,2.3642761855393015,118.83578431372548,0.0020359687818120122,0.7399013285250876,0.8688508211198268
P32-35,6.0,2804,1,MAX_ch2-r04c03f04.tif,1,34,2723,299091.0,r04c03f04,0.0008091182951008222,0.001584801949908222,0.003065956514906834,0.04192603038661625,242.0,474.0,916.9999999999999,12539.698354363441,826,348,0.23382515689204958,0.0006719113703794529,2.6070037117288796,200.96264367816093,0.0011635254822110997,0.7700594444003339,0.8678515861734526
P32-35,6.0,2808,2,MAX_ch2-r04c03f09.tif,2,34,2727,73612.0,r04c03f09,0.0011139488126935826,0.002187143400532522,0.0028256262565885997,0.050715833296693165,82.0,161.0,208.0,3733.293920636177,181,65,0.26396511438352444,0.004061001759746529,2.9373063748781987,298.9384615384615,0.0008830082051839375,0.7647584985047199,0.877440032437749
P13-15,6.0,4097,13,MAX_ch2-r04c10f03.tif,12,14,3971,53776.0,r04c10f03,0.001766587325200833,0.0018595656054745612,0.004109639988098782,0.046565813591830686,95.0,100.0,221.00000000000006,2504.123191714287,187,96,0.24629946444510561,0.0025656194213031836,2.1526002496290935,137.96875,0.0017851829812555787,0.7666830322087228,0.8075983665247456
P13-15,6.0,4842,9,MAX_ch2-r04c11f14.tif,9,13,4687,86768.0,r04c11f14,0.0008182740180711784,0.0009680988382813941,0.002800571639314033,0.0324103012997001,71.0,84.0,243.00000000000003,2812.1770231723785,214,115,0.18339710492347408,0.001594757434117166,2.6458671196075785,138.37391304347827,0.0013253734095519086,0.7771619711042709,0.8480014376674843
Doxo,6.0,5063,6,MAX_ch2-r05c02f02.tif,4,12,4905,45652.0,r05c02f02,0.0007228598966091299,0.0013581004118110927,0.0017085779374397616,0.02611302566326731,33.0,62.0,78.0,1192.1118475794792,73,25,0.15830631735739945,0.0063322526942959775,2.0400475672316327,289.08,0.0005476211337947954,0.7852772889665869,0.8263366102648406
