filter_type,Plate 1,Plate 2,Plate 3,Plate 4,Plate 5,Plate 6,Plate 7
Cell Eccentricity Filter,63,155,82,88,97,85,92
Cell Eccentricity Filter Bottom Band,102,101,196,382,257,189,121
Cell Size Filter Bottom Band,61,19,155,416,315,245,39
Cell Size Filter Top Band,1,4,4,0,2,11,25
Cell:Nuclear Area Ratio Filter Bottom Band,119,99,163,281,481,377,50
Cell:Nuclear Area Ratio Filter Top Band,2,6,26,7,8,19,26
Initial Dataset,0,0,0,0,0,0,0
Min Number of Lysosomes Filter,1,1,0,3,2,0,0
Min Number of Mitochondria Filter,1,0,0,7,6,4,1
Nuclear Eccentricity Filter Bottom Band,146,62,229,253,245,210,198
Nuclear Eccentricity Filter Top Band,3,3,9,3,24,11,11
Nuclear Size Filter Bottom Band,62,53,177,280,196,138,101
Nuclear Size Filter Top Band,3,4,10,3,17,19,25
Number Of Nuclei Neighbours < 97.5th Percentile,11,6,21,29,25,28,7
Percent of Cell Touching Neighbours AND Number Of Neighbours < 97.5th Percentile,450,448,1451,308,1143,471,337
