,filter_type,columns,rows_initial,rows_removed,threshold,rows
Initial_Dataset,Initial Dataset,3455,76007,0,"None,None",
Number_of_Mitochondria_Filter,Min Number of Mitochondria Filter,3455,76007,19,min_compartments=0,75988.0
Number_of_Lysosomes_Filter,Min Number of Lysosomes Filter,3455,75988,7,min_compartments=0,75981.0
AreaShape_Area_Filter_Bottom,Cell Size Filter Bottom Band,3455,75981,1250,Bottom threshold: 22768.0,74684.0
AreaShape_Area_Filter_Top,Cell Size Filter Top Band,3455,75981,47,Top threshold: 1254046.5,74684.0
Nuclei_AreaShape_Area_Filter_Bottom,Nuclear Size Filter Bottom Band,3455,74684,1007,Bottom threshold: 9340.0,73596.0
Nuclei_AreaShape_Area_Filter_Top,Nuclear Size Filter Top Band,3455,74684,81,Top threshold: 98385.75,73596.0
Cell_Nuclei_Area_Ratio_Filter_Bottom,Cell:Nuclear Area Ratio Filter Bottom Band,3455,73596,1570,Bottom threshold: 1.9243336199484091,72026.0
Cell_Nuclei_Area_Ratio_Filter_Top,Cell:Nuclear Area Ratio Filter Top Band,3455,72026,94,Top threshold: 20.530685742771166,71932.0
AreaShape_Eccentricity_Filter_Bottom,Cell Eccentricity Filter Bottom Band,3455,71932,1348,Bottom threshold: 0.4542413516744716,69922.0
AreaShape_Eccentricity_Filter_Top,Cell Eccentricity Filter,3455,71932,662,Top threshold: 0.9934239864299939,69922.0
Nuclei_AreaShape_Eccentricity_Filter_Bottom,Nuclear Eccentricity Filter Bottom Band,3455,69922,1343,Bottom threshold: 0.4526738014352,68515.0
Nuclei_AreaShape_Eccentricity_Filter_Top,Nuclear Eccentricity Filter Top Band,3455,69922,64,Top threshold: 0.9525365954701192,68515.0
Cell_Neighbours_Filter,Percent of Cell Touching Neighbours AND Number Of Neighbours < 97.5th Percentile,3455,68515,4608,Max Percent Touching: 65.82167832167832 and Max Number Of Neighbours: 4.0,63907.0
Nuc_Neighbours_Filter,Number Of Nuclei Neighbours < 97.5th Percentile,3455,63907,127,Max Number Of Nuclei Neighbours: 1.0,63780.0
