,filter_type,columns,rows_initial,rows_removed,threshold,rows,Plate_Number
0,Initial Dataset,3455,11745,0,"None,None",,Plate 6
1,Min Number of Mitochondria Filter,3455,11745,4,min_compartments=0,11741.0,Plate 6
2,Min Number of Lysosomes Filter,3455,11741,0,min_compartments=0,11741.0,Plate 6
3,Cell Size Filter Bottom Band,3455,11741,245,Bottom threshold: 22768.0,11485.0,Plate 6
4,Cell Size Filter Top Band,3455,11741,11,Top threshold: 1254046.5,11485.0,Plate 6
5,Nuclear Size Filter Bottom Band,3455,11485,138,Bottom threshold: 9340.0,11328.0,Plate 6
6,Nuclear Size Filter Top Band,3455,11485,19,Top threshold: 98385.75,11328.0,Plate 6
7,Cell:Nuclear Area Ratio Filter Bottom Band,3455,11328,377,Bottom threshold: 1.9243336199484091,10951.0,Plate 6
8,Cell:Nuclear Area Ratio Filter Top Band,3455,10951,19,Top threshold: 20.530685742771166,10932.0,Plate 6
9,Cell Eccentricity Filter Bottom Band,3455,10932,189,Bottom threshold: 0.4542413516744716,10658.0,Plate 6
10,Cell Eccentricity Filter,3455,10932,85,Top threshold: 0.9934239864299939,10658.0,Plate 6
11,Nuclear Eccentricity Filter Bottom Band,3455,10658,210,Bottom threshold: 0.4526738014352,10437.0,Plate 6
12,Nuclear Eccentricity Filter Top Band,3455,10658,11,Top threshold: 0.9525365954701192,10437.0,Plate 6
13,Percent of Cell Touching Neighbours AND Number Of Neighbours < 97.5th Percentile,3455,10437,471,Max Percent Touching: 65.82167832167832 and Max Number Of Neighbours: 4.0,9966.0,Plate 6
14,Number Of Nuclei Neighbours < 97.5th Percentile,3455,9966,28,Max Number Of Nuclei Neighbours: 1.0,9938.0,Plate 6
15,Initial Dataset,3455,9367,0,"None,None",,Plate 2
16,Min Number of Mitochondria Filter,3455,9367,0,min_compartments=0,9367.0,Plate 2
17,Min Number of Lysosomes Filter,3455,9367,1,min_compartments=0,9366.0,Plate 2
18,Cell Size Filter Bottom Band,3455,9366,19,Bottom threshold: 22768.0,9343.0,Plate 2
19,Cell Size Filter Top Band,3455,9366,4,Top threshold: 1254046.5,9343.0,Plate 2
20,Nuclear Size Filter Bottom Band,3455,9343,53,Bottom threshold: 9340.0,9286.0,Plate 2
21,Nuclear Size Filter Top Band,3455,9343,4,Top threshold: 98385.75,9286.0,Plate 2
22,Cell:Nuclear Area Ratio Filter Bottom Band,3455,9286,99,Bottom threshold: 1.9243336199484091,9187.0,Plate 2
